Building Name,Building Address,address_info,latitude,longitude
UNITED SQUARE,"101 THOMSON ROAD, SINGAPORE 307591","[{'address_components': [{'long_name': '101', 'short_name': '101', 'types': ['street_number']}, {'long_name': 'Thomson Road', 'short_name': 'Thomson Rd', 'types': ['route']}, {'long_name': 'Novena', 'short_name': 'Novena', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '307591', 'short_name': '307591', 'types': ['postal_code']}], 'formatted_address': '101 Thomson Rd, Singapore 307591', 'geometry': {'bounds': {'northeast': {'lat': 1.3177678, 'lng': 103.8440718}, 'southwest': {'lat': 1.3165318, 'lng': 103.8430951}}, 'location': {'lat': 1.317325, 'lng': 103.8435452}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.318498780291502, 'lng': 103.8449324302915}, 'southwest': {'lat': 1.315800819708498, 'lng': 103.8422344697085}}}, 'place_id': 'ChIJ06bY4ecZ2jERemHpUmlemz8', 'types': ['premise']}]",1.317325,103.8435452
HPL HOUSE,"50 CUSCADEN ROAD, SINGAPORE 249724","[{'address_components': [{'long_name': '50', 'short_name': '50', 'types': ['street_number']}, {'long_name': 'Cuscaden Road', 'short_name': 'Cuscaden Rd', 'types': ['route']}, {'long_name': 'Orchard', 'short_name': 'Orchard', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '249724', 'short_name': '249724', 'types': ['postal_code']}], 'formatted_address': '50 Cuscaden Rd, Singapore 249724', 'geometry': {'bounds': {'northeast': {'lat': 1.3059197, 'lng': 103.8282921}, 'southwest': {'lat': 1.3055673, 'lng': 103.8279719}}, 'location': {'lat': 1.3056808, 'lng': 103.8280963}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.307089880291502, 'lng': 103.8294809802915}, 'southwest': {'lat': 1.304391919708498, 'lng': 103.8267830197085}}}, 'place_id': 'ChIJJe1qhowZ2jER_pbMJwB1kOw', 'types': ['premise']}]",1.3056808,103.8280963
GRACE GLOBAL RAFFLES,"137 MARKET STREET, SINGAPORE 048943","[{'address_components': [{'long_name': 'Level 6', 'short_name': 'Level 6', 'types': ['subpremise']}, {'long_name': '137', 'short_name': '137', 'types': ['street_number']}, {'long_name': 'Market Street', 'short_name': 'Market St', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '048943', 'short_name': '048943', 'types': ['postal_code']}], 'formatted_address': '137 Market St, Level 6, Singapore 048943', 'geometry': {'location': {'lat': 1.282206, 'lng': 103.850511}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.283548730291502, 'lng': 103.8517855302915}, 'southwest': {'lat': 1.280850769708498, 'lng': 103.8490875697085}}}, 'place_id': 'ChIJgVAnKwwZ2jERNmbDbClcxvM', 'plus_code': {'compound_code': '7VJ2+V6 Singapore', 'global_code': '6PH57VJ2+V6'}, 'types': ['establishment', 'point_of_interest', 'real_estate_agency']}, {'address_components': [{'long_name': 'Grace Global Raffles', 'short_name': 'Grace Global Raffles', 'types': ['premise']}, {'long_name': '137', 'short_name': '137', 'types': ['street_number']}, {'long_name': 'Market Street', 'short_name': 'Market St', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '048943', 'short_name': '048943', 'types': ['postal_code']}], 'formatted_address': '137 Market St, Grace Global Raffles, Singapore 048943', 'geometry': {'bounds': {'northeast': {'lat': 1.2823196, 'lng': 103.8506009}, 'southwest': {'lat': 1.2821474, 'lng': 103.8504367}}, 'location': {'lat': 1.2822293, 'lng': 103.8504747}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.283582480291502, 'lng': 103.8518293802915}, 'southwest': {'lat': 1.280884519708498, 'lng': 103.8491314197085}}}, 'place_id': 'ChIJm69PgA4Z2jERgw3xmRSatbg', 'types': ['premise']}]",1.282206,103.850511
THE GLOBE,"100 CECIL STREET, SINGAPORE 069532","[{'address_components': [{'long_name': '100', 'short_name': '100', 'types': ['street_number']}, {'long_name': 'Cecil Street', 'short_name': 'Cecil St', 'types': ['route']}, {'long_name': 'Chinatown', 'short_name': 'Chinatown', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '069532', 'short_name': '069532', 'types': ['postal_code']}], 'formatted_address': '100 Cecil St, Singapore 069532', 'geometry': {'bounds': {'northeast': {'lat': 1.2813959, 'lng': 103.8491884}, 'southwest': {'lat': 1.2811139, 'lng': 103.8488595}}, 'location': {'lat': 1.2812743, 'lng': 103.8490256}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.282603880291502, 'lng': 103.8503873802915}, 'southwest': {'lat': 1.279905919708498, 'lng': 103.8476894197085}}}, 'place_id': 'ChIJncYluQ0Z2jERQhnukUxdCrc', 'types': ['premise']}]",1.2812743,103.8490256
HIGH STREET PLAZA,"77 HIGH STREET, SINGAPORE 179433","[{'address_components': [{'long_name': '77', 'short_name': '77', 'types': ['street_number']}, {'long_name': 'High Street', 'short_name': 'High St', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '179433', 'short_name': '179433', 'types': ['postal_code']}], 'formatted_address': '77 High St, Singapore 179433', 'geometry': {'location': {'lat': 1.2903297, 'lng': 103.8492539}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.291690180291502, 'lng': 103.8506116802915}, 'southwest': {'lat': 1.288992219708498, 'lng': 103.8479137197085}}}, 'place_id': 'ChIJV8iSrEsZ2jER_Jg-5XyBU8s', 'plus_code': {'compound_code': '7RRX+4P Singapore', 'global_code': '6PH57RRX+4P'}, 'types': ['street_address']}]",1.2903297,103.8492539
VIVO CITY,"1 HARBOURFRONT WALK, SINGAPORE 098585","[{'address_components': [{'long_name': 'VivoCity', 'short_name': 'VivoCity', 'types': ['premise']}, {'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'HarbourFront Walk', 'short_name': 'HarbourFront Walk', 'types': ['route']}, {'long_name': 'Bukit Merah', 'short_name': 'Bukit Merah', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '098585', 'short_name': '098585', 'types': ['postal_code']}], 'formatted_address': '1 HarbourFront Walk, VivoCity, Singapore 098585', 'geometry': {'bounds': {'northeast': {'lat': 1.2650786, 'lng': 103.8235616}, 'southwest': {'lat': 1.2642956, 'lng': 103.8227118}}, 'location': {'lat': 1.2647139, 'lng': 103.8231658}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.266070180291502, 'lng': 103.8244856802915}, 'southwest': {'lat': 1.263372219708498, 'lng': 103.8217877197085}}}, 'place_id': 'ChIJwzGolFgZ2jERPziEQ7l3r3s', 'types': ['subpremise']}]",1.2647139,103.8231658
CITY PLAZA,"810 GEYLANG ROAD, SINGAPORE 409286","[{'address_components': [{'long_name': '810', 'short_name': '810', 'types': ['street_number']}, {'long_name': 'Geylang Road', 'short_name': 'Geylang Rd', 'types': ['route']}, {'long_name': 'Geylang', 'short_name': 'Geylang', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '409286', 'short_name': '409286', 'types': ['postal_code']}], 'formatted_address': '810 Geylang Rd, Singapore 409286', 'geometry': {'bounds': {'northeast': {'lat': 1.3152084, 'lng': 103.8938883}, 'southwest': {'lat': 1.3143673, 'lng': 103.89295}}, 'location': {'lat': 1.3147197, 'lng': 103.8932865}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.316045680291502, 'lng': 103.8947519302915}, 'southwest': {'lat': 1.313347719708498, 'lng': 103.8920539697085}}}, 'place_id': 'ChIJeSEnshcY2jERpDXr1iAA_aQ', 'types': ['premise']}]",1.3147197,103.8932865
BEAUTY WORLD CENTRE,"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177","[{'address_components': [{'long_name': '144', 'short_name': '144', 'types': ['street_number']}, {'long_name': 'Upper Bukit Timah Road', 'short_name': 'Upper Bukit Timah Rd', 'types': ['route']}, {'long_name': 'Bukit Timah', 'short_name': 'Bukit Timah', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '588177', 'short_name': '588177', 'types': ['postal_code']}], 'formatted_address': '144 Upper Bukit Timah Rd, Singapore 588177', 'geometry': {'bounds': {'northeast': {'lat': 1.3428527, 'lng': 103.7771697}, 'southwest': {'lat': 1.3418873, 'lng': 103.775956}}, 'location': {'lat': 1.3423741, 'lng': 103.7762593}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.343718980291502, 'lng': 103.7779071802915}, 'southwest': {'lat': 1.341021019708498, 'lng': 103.7752092197085}}}, 'place_id': 'ChIJ9VohaYoQ2jERjRMGPhxJDkk', 'types': ['premise']}]",1.3423741,103.7762593
OLD HILL STREET POLICE STATION,"140 HILL STREET, SINGAPORE 179369","[{'address_components': [{'long_name': '140', 'short_name': '140', 'types': ['street_number']}, {'long_name': 'Hill Street', 'short_name': 'Hill St', 'types': ['route']}, {'long_name': 'Museum', 'short_name': 'Museum', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '179369', 'short_name': '179369', 'types': ['postal_code']}], 'formatted_address': '140 Hill St, Singapore 179369', 'geometry': {'bounds': {'northeast': {'lat': 1.2912103, 'lng': 103.848635}, 'southwest': {'lat': 1.2903568, 'lng': 103.8474422}}, 'location': {'lat': 1.2907387, 'lng': 103.8481739}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.292132530291502, 'lng': 103.8493875802915}, 'southwest': {'lat': 1.289434569708498, 'lng': 103.8466896197085}}}, 'place_id': 'ChIJd0w096AZ2jERzr1qdHq5lxY', 'types': ['premise']}]",1.2907387,103.8481739
MINISTRY OF MANPOWER SERVICES CENTRE,"1500 BENDEMEER ROAD, SINGAPORE 339946","[{'address_components': [{'long_name': 'Bendemeer Road', 'short_name': 'Bendemeer Rd', 'types': ['route']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bendemeer Rd, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.328262100000025, 'lng': 103.8693234}, 'southwest': {'lat': 1.314053099999975, 'lng': 103.8603655}}, 'location': {'lat': 1.3207154, 'lng': 103.8652909}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.328262100000025, 'lng': 103.8693234}, 'southwest': {'lat': 1.314053099999975, 'lng': 103.8603655}}}, 'partial_match': True, 'place_id': 'EhdCZW5kZW1lZXIgUmQsIFNpbmdhcG9yZSIuKiwKFAoSCTXjN7zTGdoxEaAAsWNsgkTXEhQKEgnDIxMHgBfaMRFDLljBIPPIBQ', 'types': ['route']}]",1.3207154,103.8652909
