,PA,Time,total,change,centroid_lat,centroid_lon,pop_per
0,ANG MO KIO,2023,161910,10.0,1.380094055176196,103.84209760560857,0.03889701695843634
1,BEDOK,2023,280230,1260.0,1.324047556127234,103.9284087099677,0.06732203731864995
2,BISHAN,2023,88340,2400.0,1.354955451556873,103.84043609612033,0.021222669866643604
3,BOON LAY,2023,0,0.0,1.3147872003335177,103.70221718849486,0.0
4,BUKIT BATOK,2023,169360,4080.0,1.3556584338343807,103.75473175178776,0.04068679384893322
5,BUKIT MERAH,2023,150840,210.0,1.2754891679874267,103.82313509586984,0.036237576666114116
6,BUKIT PANJANG,2023,139580,1850.0,1.3668223021001036,103.77299794249768,0.03353249105712151
7,BUKIT TIMAH,2023,82830,2890.0,1.3299968214402138,103.79069949569387,0.019898955683202282
8,CENTRAL WATER CATCHMENT,2023,0,0.0,1.3766513372525648,103.80119634115697,0.0
9,CHANGI,2023,1700,60.0,1.3503165165597222,103.99782012691855,0.000408405464945598
10,CHANGI BAY,2023,0,0.0,1.3274227625859556,104.02635673265945,0.0
11,CHOA CHU KANG,2023,192110,1330.0,1.3855559826733423,103.74719055870717,0.04615221992394049
12,CLEMENTI,2023,98710,4380.0,1.3175918807025264,103.76075103524259,0.02371394320281175
13,DOWNTOWN CORE,2023,3810,240.0,1.2867892720430285,103.85549700497297,0.0009153087184957225
14,GEYLANG,2023,114970,5470.0,1.3208955714849444,103.88952257130141,0.027620221355762
15,HOUGANG,2023,228340,730.0,1.3636377385701186,103.88980037988583,0.054856061097457554
16,JURONG EAST,2023,76490,-310.0,1.3204424201993266,103.73479697044108,0.018375843537463993
17,JURONG WEST,2023,260340,1640.0,1.3416120374289247,103.70490242706764,0.06254369337878646
18,KALLANG,2023,101750,450.0,1.311124919506215,103.86654408493864,0.024444268269537998
19,LIM CHU KANG,2023,0,0.0,1.430643403070087,103.71928524081164,0.0
20,MANDAI,2023,2110,-60.0,1.4236230116494553,103.8024597039345,0.0005069032535501245
21,MARINA EAST,2023,0,0.0,1.2885173954799036,103.87235158560482,0.0
22,MARINA SOUTH,2023,0,0.0,1.2805313066338266,103.86562853413281,0.0
23,MARINE PARADE,2023,46940,870.0,1.30022763467378,103.89627236677394,0.011276795602674335
24,MUSEUM,2023,520,220.0,1.2959160742192346,103.8467171648099,0.00012492402457159468
25,NEWTON,2023,9650,570.0,1.3086600310788856,103.83807779187238,0.0023183016098382472
26,NORTH-EASTERN ISLANDS,2023,0,0.0,1.4016416872518709,104.03482276883604,0.0
27,NOVENA,2023,51760,910.0,1.3269837713888994,103.83530889514178,0.012434745215049501
28,ORCHARD,2023,730,140.0,1.3038068770148676,103.83358042662579,0.0001753741114178156
29,OUTRAM,2023,17290,-130.0,1.2828584369721758,103.84206098066655,0.004153723817005523
30,PASIR RIS,2023,147520,1110.0,1.3786178638003028,103.94828720791838,0.03543998481692624
31,PAYA LEBAR,2023,0,0.0,1.3593981839563722,103.91477861288791,0.0
32,PIONEER,2023,0,0.0,1.312585148324638,103.6729874424584,0.0
33,PUNGGOL,2023,195180,8910.0,1.4053645624818498,103.91004604377268,0.04688975214593048
34,QUEENSTOWN,2023,99890,2920.0,1.2890829824840477,103.78456750477594,0.023997424643185754
35,RIVER VALLEY,2023,12020,730.0,1.2980458453422243,103.83397826277546,0.002887666875674169
36,ROCHOR,2023,13080,270.0,1.304138793841283,103.85328440398514,0.003142319694993189
37,SELETAR,2023,160,40.0,1.4143397185621818,103.87709925548802,3.843816140664452e-05
38,SEMBAWANG,2023,109640,990.0,1.4557470204265972,103.81882799206967,0.026339750103903155
39,SENGKANG,2023,258360,5110.0,1.3912795083373641,103.88770836244758,0.062068021131379235
40,SERANGOON,2023,119140,740.0,1.365201682485831,103.86781804582496,0.028622015937422675
41,SIMPANG,2023,0,0.0,1.44408542642415,103.85291930987479,0.0
42,SINGAPORE RIVER,2023,3740,230.0,1.2901146557076433,103.8412096945576,0.0008984920228803156
43,SOUTHERN ISLANDS,2023,2390,150.0,1.2429989859295778,103.83584850359571,0.0005741700360117524
44,STRAITS VIEW,2023,0,0.0,1.2712516659929634,103.85877319746278,0.0
45,SUNGEI KADUT,2023,550,-30.0,1.4181263629838783,103.75746122032413,0.00013213117983534053
46,TAMPINES,2023,274770,8920.0,1.3437864401639033,103.95402885333277,0.06601033506064821
47,TANGLIN,2023,24200,930.0,1.3083745918406513,103.81759500920239,0.005813771912754983
48,TENGAH,2023,0,0.0,1.3638533932756245,103.72874563141704,0.0
49,TOA PAYOH,2023,135580,6330.0,1.3366835663036543,103.86102587394075,0.0325715370219554
50,TUAS,2023,0,0.0,1.2802352885075325,103.63310340612321,0.0
51,WESTERN ISLANDS,2023,0,0.0,1.249549871006106,103.7090277477753,0.0
52,WESTERN WATER CATCHMENT,2023,520,-40.0,1.3821302490691543,103.6897299637232,0.00012492402457159468
53,WOODLANDS,2023,255790,3220.0,1.44068149631745,103.78770463944859,0.061450608163785
54,YISHUN,2023,229690,6350.0,1.415039529936932,103.83711792058944,0.05518038308432612
